Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
Bards of Birmingham Theatre Company,Birmingham,AL - Alabama,,,,,,,
Alabama Shakespeare Festival,Montgomery,AL - Alabama,,Untitled (https://www.notion.so/0f88dc6c4a8c4025aa868e6d24e114ae?pvs=21),6 - 9,"$8,500,000.00",1972,,
Mud Bay Bards,Homer,AK - Alaska,,,,,,,
Fairbanks Shakespeare Theatre,Fairbanks,AK - Alaska,,,,,,,
Shakespeare in the Park,Anchorage,AK - Alaska,,,,,,,
Flagstaff Shakespeare Festival,Flagstaff,AZ - Arizona,,,,,,,
Southwest Shakespeare Company,Mesa,AZ - Arizona,,"Untitled (https://www.notion.so/c06a7980c2b7416ba57de307d1bfcf18?pvs=21), Untitled (https://www.notion.so/ecc34ad7fd404398bcea946527b8e523?pvs=21), Untitled (https://www.notion.so/45b09bbadc574438accbd143cc3af8d8?pvs=21)",,,,,
Arkansas Shakespeare Theatre,Conway,AR - Arkansas,,Untitled (https://www.notion.so/3053210c1a4b426a92df61cc69f70140?pvs=21),,,,,
SPARC - Shakespeare in the Vineyard,Livermore,CA - California,,,,,,,
Shakespeare Napa Valley,Napa,CA - California,,,,,,,
Shakespeare in Yosemite,Merced,CA - California,,,,,,,
Sacramento Shakespeare Festival,Sacramento,CA - California,,,,,,,
New Swan Shakespeare Festival,Irvine,CA - California,,,,,,,
Naked Shakes,Santa Barbara,CA - California,,,,,,,
Merced Shakespeare Fest,Merced,CA - California,,,,,,,
Park Players,Birmingham,CA - California,,,,,,,
Ophelia’s Jump,Upland,CA - California,,,,,,,
Theatricum Botanicum,Topenga,CA - California,,,,,,,
Kingsmen Shakespeare Company,Thousand Oaks,CA - California,,,,,,,
Sonoma Shakespeare Company,Sonoma,CA - California,,,,,,,
Santa Clarita Shakespeare Festival,Santa Clarita,CA - California,,,,,,,
Lit Moon,Santa Barbara,CA - California,,,,,,,
Shakespeare by the Sea,San Pedro,CA - California,,,,,,,
Silicon Valley Shakespeare,San Jose,CA - California,,,,,,,
Theater of Others,San Francisco,CA - California,,,,,,,
San Diego Shakespeare Society,San Diego,CA - California,,,,,,,
New Fortune Theatre Company,San Diego,CA - California,,,,,,,
Wildflower Women’s Ensemble,Sacramento,CA - California,,,,,,,
Redlands Shakespeare Festival,Redlands,CA - California,,,,,,,
Ensemble Shakespeare Theatre,Pasadena,CA - California,,,,,,,
Stanford Shakespeare Company,Palo Alto,CA - California,,,,,,,
Crown City Theatre Company,North Hollywood,CA - California,,,,,,,
Festival Theatre Ensemble,Los Gatos,CA - California,,,,,,,
The Shakespeare Center,Los Angeles,CA - California,,,,,,,
